filename,day_info
GT_USDT_data.csv,2024-08-20 (22/24 hours)
GT_USDT_data.csv,2024-10-22 (8/24 hours)
EGLD_USDT_data.csv,2021-01-01 (1/24 hours)
EGLD_USDT_data.csv,2021-01-10 (21/24 hours)
EGLD_USDT_data.csv,2021-03-25 (23/24 hours)
EGLD_USDT_data.csv,2021-04-17 (21/24 hours)
EGLD_USDT_data.csv,2021-04-26 (23/24 hours)
EGLD_USDT_data.csv,2021-06-01 (23/24 hours)
EGLD_USDT_data.csv,2021-07-01 (23/24 hours)
EGLD_USDT_data.csv,2021-07-06 (23/24 hours)
EGLD_USDT_data.csv,2022-01-27 (23/24 hours)
EGLD_USDT_data.csv,2022-02-11 (20/24 hours)
EGLD_USDT_data.csv,2022-05-20 (19/24 hours)
EGLD_USDT_data.csv,2022-10-04 (23/24 hours)
EGLD_USDT_data.csv,2022-10-07 (20/24 hours)
EGLD_USDT_data.csv,2022-10-08 (17/24 hours)
EGLD_USDT_data.csv,2023-03-02 (23/24 hours)
EGLD_USDT_data.csv,2023-11-03 (23/24 hours)
EGLD_USDT_data.csv,2024-01-09 (23/24 hours)
EGLD_USDT_data.csv,2024-07-26 (23/24 hours)
EGLD_USDT_data.csv,2024-08-20 (22/24 hours)
EGLD_USDT_data.csv,2024-10-22 (8/24 hours)
RAY_USDT_data.csv,2021-02-21 (8/24 hours)
RAY_USDT_data.csv,2021-02-26 (23/24 hours)
RAY_USDT_data.csv,2021-03-25 (23/24 hours)
RAY_USDT_data.csv,2021-04-04 (23/24 hours)
RAY_USDT_data.csv,2021-04-08 (23/24 hours)
RAY_USDT_data.csv,2021-04-15 (23/24 hours)
RAY_USDT_data.csv,2021-04-17 (21/24 hours)
RAY_USDT_data.csv,2021-04-19 (22/24 hours)
RAY_USDT_data.csv,2021-04-20 (23/24 hours)
RAY_USDT_data.csv,2021-04-26 (23/24 hours)
RAY_USDT_data.csv,2021-05-05 (23/24 hours)
RAY_USDT_data.csv,2021-07-01 (23/24 hours)
RAY_USDT_data.csv,2021-07-06 (23/24 hours)
RAY_USDT_data.csv,2022-01-27 (23/24 hours)
RAY_USDT_data.csv,2022-02-11 (20/24 hours)
RAY_USDT_data.csv,2022-05-20 (20/24 hours)
RAY_USDT_data.csv,2022-10-04 (23/24 hours)
RAY_USDT_data.csv,2022-10-07 (20/24 hours)
RAY_USDT_data.csv,2022-10-08 (17/24 hours)
RAY_USDT_data.csv,2023-03-02 (23/24 hours)
RAY_USDT_data.csv,2023-11-03 (23/24 hours)
RAY_USDT_data.csv,2024-10-09 (23/24 hours)
RAY_USDT_data.csv,2024-10-22 (10/24 hours)
RSR_USDT_data.csv,2021-01-01 (1/24 hours)
RSR_USDT_data.csv,2021-01-10 (21/24 hours)
RSR_USDT_data.csv,2021-03-25 (23/24 hours)
RSR_USDT_data.csv,2021-04-17 (22/24 hours)
RSR_USDT_data.csv,2021-06-01 (23/24 hours)
RSR_USDT_data.csv,2021-07-01 (23/24 hours)
RSR_USDT_data.csv,2021-07-06 (23/24 hours)
RSR_USDT_data.csv,2022-01-27 (23/24 hours)
RSR_USDT_data.csv,2022-02-11 (20/24 hours)
RSR_USDT_data.csv,2022-10-01 (23/24 hours)
RSR_USDT_data.csv,2024-05-09 (21/24 hours)
RSR_USDT_data.csv,2024-07-26 (23/24 hours)
RSR_USDT_data.csv,2024-08-20 (22/24 hours)
RSR_USDT_data.csv,2024-10-22 (8/24 hours)
NEO_USDT_data.csv,2021-01-01 (1/24 hours)
NEO_USDT_data.csv,2021-01-10 (21/24 hours)
NEO_USDT_data.csv,2021-03-25 (23/24 hours)
NEO_USDT_data.csv,2021-04-17 (21/24 hours)
NEO_USDT_data.csv,2021-04-26 (23/24 hours)
NEO_USDT_data.csv,2021-05-05 (23/24 hours)
NEO_USDT_data.csv,2021-07-01 (23/24 hours)
NEO_USDT_data.csv,2021-07-06 (23/24 hours)
NEO_USDT_data.csv,2022-01-27 (23/24 hours)
NEO_USDT_data.csv,2022-02-11 (20/24 hours)
NEO_USDT_data.csv,2022-05-20 (19/24 hours)
NEO_USDT_data.csv,2022-10-04 (23/24 hours)
NEO_USDT_data.csv,2022-10-07 (20/24 hours)
NEO_USDT_data.csv,2022-10-08 (17/24 hours)
NEO_USDT_data.csv,2023-03-02 (23/24 hours)
NEO_USDT_data.csv,2023-11-03 (23/24 hours)
NEO_USDT_data.csv,2024-01-09 (23/24 hours)
NEO_USDT_data.csv,2024-08-16 (23/24 hours)
NEO_USDT_data.csv,2024-10-09 (23/24 hours)
NEO_USDT_data.csv,2024-10-22 (10/24 hours)
XLM_USDT_data.csv,2021-01-01 (1/24 hours)
XLM_USDT_data.csv,2021-01-10 (20/24 hours)
XLM_USDT_data.csv,2021-03-25 (23/24 hours)
XLM_USDT_data.csv,2021-04-17 (21/24 hours)
XLM_USDT_data.csv,2021-04-26 (23/24 hours)
XLM_USDT_data.csv,2021-06-01 (23/24 hours)
XLM_USDT_data.csv,2021-07-01 (23/24 hours)
XLM_USDT_data.csv,2021-07-06 (23/24 hours)
XLM_USDT_data.csv,2022-01-27 (23/24 hours)
XLM_USDT_data.csv,2022-02-11 (20/24 hours)
XLM_USDT_data.csv,2022-05-20 (20/24 hours)
XLM_USDT_data.csv,2022-10-04 (23/24 hours)
XLM_USDT_data.csv,2022-10-07 (20/24 hours)
XLM_USDT_data.csv,2022-10-08 (17/24 hours)
XLM_USDT_data.csv,2023-03-02 (23/24 hours)
XLM_USDT_data.csv,2023-11-03 (23/24 hours)
XLM_USDT_data.csv,2024-07-12 (23/24 hours)
XLM_USDT_data.csv,2024-07-25 (23/24 hours)
XLM_USDT_data.csv,2024-08-16 (23/24 hours)
XLM_USDT_data.csv,2024-08-20 (23/24 hours)
XLM_USDT_data.csv,2024-09-15 (23/24 hours)
XLM_USDT_data.csv,2024-10-09 (23/24 hours)
XLM_USDT_data.csv,2024-10-22 (10/24 hours)
BEAM_USDT_data.csv,2023-10-26 (10/24 hours)
BEAM_USDT_data.csv,2023-11-03 (23/24 hours)
BEAM_USDT_data.csv,2024-01-09 (23/24 hours)
BEAM_USDT_data.csv,2024-10-09 (23/24 hours)
BEAM_USDT_data.csv,2024-10-22 (10/24 hours)
OP_USDT_data.csv,2022-10-04 (23/24 hours)
OP_USDT_data.csv,2022-10-07 (20/24 hours)
OP_USDT_data.csv,2022-10-08 (17/24 hours)
OP_USDT_data.csv,2023-03-02 (23/24 hours)
OP_USDT_data.csv,2023-11-03 (23/24 hours)
OP_USDT_data.csv,2024-01-09 (23/24 hours)
OP_USDT_data.csv,2024-07-26 (23/24 hours)
OP_USDT_data.csv,2024-08-20 (22/24 hours)
OP_USDT_data.csv,2024-10-22 (8/24 hours)
IOTX_USDT_data.csv,2021-01-01 (1/24 hours)
IOTX_USDT_data.csv,2022-10-01 (6/24 hours)
IOTX_USDT_data.csv,2022-10-02 (16/24 hours)
IOTX_USDT_data.csv,2023-07-21 (21/24 hours)
IOTX_USDT_data.csv,2024-05-09 (21/24 hours)
IOTX_USDT_data.csv,2024-07-26 (23/24 hours)
IOTX_USDT_data.csv,2024-08-20 (22/24 hours)
IOTX_USDT_data.csv,2024-10-22 (8/24 hours)
SNX_USDT_data.csv,2021-01-01 (1/24 hours)
SNX_USDT_data.csv,2024-05-09 (21/24 hours)
SNX_USDT_data.csv,2024-07-26 (23/24 hours)
SNX_USDT_data.csv,2024-08-20 (22/24 hours)
SNX_USDT_data.csv,2024-10-22 (8/24 hours)
CORE_USDT_data.csv,2023-02-08 (11/24 hours)
CORE_USDT_data.csv,2023-03-02 (23/24 hours)
CORE_USDT_data.csv,2023-11-03 (23/24 hours)
CORE_USDT_data.csv,2024-01-09 (23/24 hours)
CORE_USDT_data.csv,2024-07-02 (23/24 hours)
CORE_USDT_data.csv,2024-09-19 (23/24 hours)
CORE_USDT_data.csv,2024-10-09 (23/24 hours)
CORE_USDT_data.csv,2024-10-22 (10/24 hours)
ICP_USDT_data.csv,2021-05-10 (7/24 hours)
ICP_USDT_data.csv,2021-07-01 (23/24 hours)
ICP_USDT_data.csv,2021-07-06 (23/24 hours)
ICP_USDT_data.csv,2022-01-27 (23/24 hours)
ICP_USDT_data.csv,2022-02-11 (20/24 hours)
ICP_USDT_data.csv,2022-03-02 (23/24 hours)
ICP_USDT_data.csv,2022-05-20 (20/24 hours)
ICP_USDT_data.csv,2022-10-04 (23/24 hours)
ICP_USDT_data.csv,2022-10-07 (20/24 hours)
ICP_USDT_data.csv,2022-10-08 (17/24 hours)
ICP_USDT_data.csv,2023-03-02 (23/24 hours)
ICP_USDT_data.csv,2023-11-03 (23/24 hours)
ICP_USDT_data.csv,2024-01-09 (23/24 hours)
ICP_USDT_data.csv,2024-10-09 (23/24 hours)
ICP_USDT_data.csv,2024-10-22 (10/24 hours)
DOT_USDT_data.csv,2021-01-01 (1/24 hours)
DOT_USDT_data.csv,2021-01-10 (21/24 hours)
DOT_USDT_data.csv,2021-03-25 (23/24 hours)
DOT_USDT_data.csv,2021-04-17 (21/24 hours)
DOT_USDT_data.csv,2024-07-26 (23/24 hours)
DOT_USDT_data.csv,2024-08-20 (22/24 hours)
DOT_USDT_data.csv,2024-10-22 (8/24 hours)
OKB_USDT_data.csv,2021-01-01 (1/24 hours)
OKB_USDT_data.csv,2021-12-12 (23/24 hours)
OKB_USDT_data.csv,2022-10-01 (7/24 hours)
OKB_USDT_data.csv,2022-10-07 (16/24 hours)
OKB_USDT_data.csv,2023-07-21 (10/24 hours)
OKB_USDT_data.csv,2023-07-23 (9/24 hours)
OKB_USDT_data.csv,2024-05-09 (21/24 hours)
OKB_USDT_data.csv,2024-05-15 (23/24 hours)
OKB_USDT_data.csv,2024-05-27 (17/24 hours)
OKB_USDT_data.csv,2024-05-28 (12/24 hours)
OKB_USDT_data.csv,2024-05-29 (23/24 hours)
OKB_USDT_data.csv,2024-05-30 (21/24 hours)
OKB_USDT_data.csv,2024-07-26 (23/24 hours)
OKB_USDT_data.csv,2024-08-20 (22/24 hours)
OKB_USDT_data.csv,2024-10-22 (8/24 hours)
FLR_USDT_data.csv,2023-01-10 (20/24 hours)
FLR_USDT_data.csv,2023-03-02 (23/24 hours)
FLR_USDT_data.csv,2023-11-03 (23/24 hours)
FLR_USDT_data.csv,2024-01-09 (23/24 hours)
FLR_USDT_data.csv,2024-08-13 (23/24 hours)
FLR_USDT_data.csv,2024-10-09 (23/24 hours)
FLR_USDT_data.csv,2024-10-22 (10/24 hours)
KCS_USDT_data.csv,2021-01-01 (1/24 hours)
KCS_USDT_data.csv,2021-01-10 (20/24 hours)
KCS_USDT_data.csv,2021-02-20 (23/24 hours)
KCS_USDT_data.csv,2021-03-25 (23/24 hours)
KCS_USDT_data.csv,2021-04-17 (21/24 hours)
KCS_USDT_data.csv,2021-05-05 (23/24 hours)
KCS_USDT_data.csv,2021-07-01 (23/24 hours)
KCS_USDT_data.csv,2021-07-06 (23/24 hours)
KCS_USDT_data.csv,2021-12-12 (5/24 hours)
KCS_USDT_data.csv,2021-12-13 (17/24 hours)
KCS_USDT_data.csv,2022-10-01 (8/24 hours)
KCS_USDT_data.csv,2022-10-02 (22/24 hours)
KCS_USDT_data.csv,2023-07-21 (10/24 hours)
KCS_USDT_data.csv,2023-07-22 (4/24 hours)
KCS_USDT_data.csv,2024-05-09 (21/24 hours)
KCS_USDT_data.csv,2024-07-26 (23/24 hours)
KCS_USDT_data.csv,2024-08-20 (22/24 hours)
KCS_USDT_data.csv,2024-10-22 (8/24 hours)
RON_USDT_data.csv,2022-01-27 (10/24 hours)
RON_USDT_data.csv,2022-02-11 (20/24 hours)
RON_USDT_data.csv,2022-05-20 (19/24 hours)
RON_USDT_data.csv,2022-10-04 (22/24 hours)
RON_USDT_data.csv,2022-10-07 (20/24 hours)
RON_USDT_data.csv,2022-10-08 (17/24 hours)
RON_USDT_data.csv,2023-03-02 (23/24 hours)
RON_USDT_data.csv,2023-11-03 (23/24 hours)
RON_USDT_data.csv,2024-01-09 (23/24 hours)
RON_USDT_data.csv,2024-09-15 (23/24 hours)
RON_USDT_data.csv,2024-10-09 (23/24 hours)
RON_USDT_data.csv,2024-10-22 (10/24 hours)
ENS_USDT_data.csv,2023-07-21 (23/24 hours)
ENS_USDT_data.csv,2024-05-09 (21/24 hours)
ENS_USDT_data.csv,2024-07-26 (23/24 hours)
ENS_USDT_data.csv,2024-08-20 (22/24 hours)
ENS_USDT_data.csv,2024-10-22 (8/24 hours)
APT_USDT_data.csv,2022-10-19 (22/24 hours)
APT_USDT_data.csv,2023-03-02 (23/24 hours)
APT_USDT_data.csv,2023-11-03 (23/24 hours)
APT_USDT_data.csv,2024-01-09 (23/24 hours)
APT_USDT_data.csv,2024-10-09 (23/24 hours)
APT_USDT_data.csv,2024-10-22 (10/24 hours)
NEAR_USDT_data.csv,2021-01-01 (1/24 hours)
NEAR_USDT_data.csv,2021-01-10 (21/24 hours)
NEAR_USDT_data.csv,2021-01-27 (23/24 hours)
